reporter_id,*designation
473091,Journalist
473935,Writer
474029,Journalist
474136,Journalist
474159,Journalist
474460,Radio Host
475449,Writer
475966,Colaborador
476494,Colaborador Y Redactor
476913,Collaborador
477067,Narrador
477076,Periodista
477556,Journalist
477989,Writer
478167,Xornalista
478657,Writer
478970,Escritora
479367,Rédactrice Indépendante
480132,Writer
480659,Giornalista
481519,Podcast Host/ Journalist
482165,Periodista
482293,Journaliste
482334,"Director, Writer"
482468,Journaliste
483150,
483584,Author
483668,Writer
483691,Author
484133,Journalist
484484,Journaliste
486422,Journaliste
486635,Fotografa
486749,Journalist
489787,Rédactrice
489913,Rédacteur En Chef
495376,Designer
509166,Editor
539676,
551280,Journalist
551752,Freelance Writer
551763,Freelancer
572626,Language Assistant
577061,Creative Director
601246,Reporter
623970,Reporter
629062,Director
671750,Reporter
671922,Author
672126,Freelancer
672375,Freelancer
673151,Rapper
673483,Author
673880,Intern
674295,Author
675461,Author
676037,Producer
676137,Freelancer
676506,Author
677699,Editor
680113,Author
682350,Founder
682474,Author
700170,Author
712116,Songwriter/Owner
715437,Writer
716939,Journalist
717202,Editor
720179,Freelancer
725795,Freelancer
747981,Owner
753005,Senior Policy Analyst
767628,"Lecturer,Photographer"
771427,Journalist
796066,Sociologist
801574,Writer
